BENCHMARK: huff

DESCRIPTION: 
huffman coding of SigmodRecord.xml

REGEX:
(110|100011011000100|101100|10001101100010110|01000000110|100011011001|010000001000|010000001001|1000110110001010|10001101100010111|100011011010|000000011|0100001|00111|001100|10110111|01000110|00000000|101111011|101101001|000000010|000000100|1011111111|1011111001|10111111101|01000000111|0010|1000111|0001|10001101100011|01001101|010000011|101111000|10001100|000000111|1000110111|1011111101|1011111100|000000101|010000010|1011110010|010000000|01000111|1000110101|000000110|100010|10110101100|101111101|10110110|101101000|10110101101|10110101110|1011110011|1000110110000|01000000101|1000110110111|1010|01001110|010010|001101|0111|01001100|101110|01101|1001|10110101111|101101010|00001|0100010|11110|0101|000001|1000110110110|11111|01100|1110|10000|101111010|1011111000|10111111100|01001111|1000110100)+

DFA:
46 states, 2 symbol groups, 17 is the initial state

INPUTS:
Size(MB)  Path
648	data/Sigxml.coded.large
105	data/Sigxml.coded.medium
21	data/Sigxml.coded.small
3	data/Sigxml.coded.train

Coded characters:83
ASCII:32    	110
ASCII:33    	100011011000100
ASCII:34    	101100
ASCII:35    	10001101100010110
ASCII:38    	01000000110
ASCII:39    	100011011001
ASCII:40    	010000001000
ASCII:41    	010000001001
ASCII:42    	1000110110001010
ASCII:43    	10001101100010111
ASCII:44    	100011011010
ASCII:45    	000000011
ASCII:46    	0100001
ASCII:47    	00111
ASCII:48    	001100
ASCII:49    	10110111
ASCII:50    	01000110
ASCII:51    	00000000
ASCII:52    	101111011
ASCII:53    	101101001
ASCII:54    	000000010
ASCII:55    	000000100
ASCII:56    	1011111111
ASCII:57    	1011111001
ASCII:58    	10111111101
ASCII:59    	01000000111
ASCII:60    	0010
ASCII:61    	1000111
ASCII:62    	0001
ASCII:63    	10001101100011
ASCII:65    	01001101
ASCII:66    	010000011
ASCII:67    	101111000
ASCII:68    	10001100
ASCII:69    	000000111
ASCII:70    	1000110111
ASCII:71    	1011111101
ASCII:72    	1011111100
ASCII:73    	000000101
ASCII:74    	010000010
ASCII:75    	1011110010
ASCII:76    	010000000
ASCII:77    	01000111
ASCII:78    	1000110101
ASCII:79    	000000110
ASCII:80    	100010
ASCII:81    	10110101100
ASCII:82    	101111101
ASCII:83    	10110110
ASCII:84    	101101000
ASCII:85    	10110101101
ASCII:86    	10110101110
ASCII:87    	1011110011
ASCII:88    	1000110110000
ASCII:89    	01000000101
ASCII:90    	1000110110111
ASCII:97    	1010
ASCII:98    	01001110
ASCII:99    	010010
ASCII:100   	001101
ASCII:101   	0111
ASCII:102   	01001100
ASCII:103   	101110
ASCII:104   	01101
ASCII:105   	1001
ASCII:106   	10110101111
ASCII:107   	101101010
ASCII:108   	00001
ASCII:109   	0100010
ASCII:110   	11110
ASCII:111   	0101
ASCII:112   	000001
ASCII:113   	1000110110110
ASCII:114   	11111
ASCII:115   	01100
ASCII:116   	1110
ASCII:117   	10000
ASCII:118   	101111010
ASCII:119   	1011111000
ASCII:120   	10111111100
ASCII:121   	01001111
ASCII:122   	1000110100

